Account ID,Program Account ID Filter,Campaign ID,Campaign Name,Country,Date Created,Event Name,Invited,Number of Records,Online Event ID,Partner ID,Partner Name,Program Name,Region,Registered,WebEx Participated
54296,True,1799396,In-Person Event Template,United States,11/28/2017 6:27:38 AM,Commvault Implementation and Maintenance training,38,1,,,To Partner Marketing Account,To Partner Marketing Events,Americas,26,0
54296,True,1819465,In-Person Event Template,United States,1/17/2018 7:16:21 AM,EMEA-In-Person-Russia-Commvault connections-February13,31,1,,,To Partner Marketing Account,To Partner Marketing Events,Americas,32,0
54296,True,1914596,In-Person Event Template,United States,6/5/2018 1:50:41 AM,Discover new ways to profit with AWS and Commvault,0,1,,,To Partner Marketing Account,To Partner Marketing Events,Americas,2,0
54296,True,1900277,In-Person Event Template,United States,5/14/2018 10:06:00 PM,In-Person Event Template,0,1,,,To Partner Marketing Account,To Partner Marketing Events,Americas,0,0
54296,True,1807753,Webinar-Event-Template,United States,12/12/2017 3:04:08 PM,AMER-Webinar-Quarterly Channel Update: 1/25/18,0,1,,,To Partner Marketing Account,To Partner Marketing Events,Americas,0,0
54296,True,1757265,Webinar Template-APAC,United States,9/8/2017 2:44:43 PM,Americas-In-Person-MS-Ignite-Promotion,2507,1,,,To Partner Marketing Account,To Partner Marketing Events,Americas,1,0
54296,True,1764479,Webinar Template-APAC,United States,9/25/2017 1:00:00 AM,APAC - In Person - ASEAN & India - Partner Summit - 22-24 Nov 2017,310,1,,,To Partner Marketing Account,To Partner Marketing Events,Americas,93,0
54296,True,1780248,Webinar Template-APAC,United States,10/26/2017 6:04:04 PM,APAC-NZ-In-Person-Partner-Appliance-Launch-Nov-2017,670,1,,,To Partner Marketing Account,To Partner Marketing Events,Americas,33,0
54296,True,1817421,Webinar Template-APAC,United States,1/11/2018 6:30:37 PM,APAC-NZ- In Person Hyperscale & ScaleProtect Launch,0,1,,,To Partner Marketing Account,To Partner Marketing Events,Americas,0,0
54296,True,1827096,Webinar Template-APAC,United States,1/31/2018 4:52:53 PM,APAC>ANZ>Hyperscale & ScaleProtect Launch - Canberra,0,1,,,To Partner Marketing Account,To Partner Marketing Events,Americas,27,0
54296,True,1825842,Webinar Template-APAC,United States,1/29/2018 5:11:56 PM,APAC-ANZ-Hyperscale & ScaleProtect Launch - Melbourne,0,1,,,To Partner Marketing Account,To Partner Marketing Events,Americas,49,0
54296,True,1826752,Webinar Template-APAC,United States,1/31/2018 12:30:41 AM,APAC>ANZ>Hyperscale & ScaleProtect Launch - Brisbane,57,1,,,To Partner Marketing Account,To Partner Marketing Events,Americas,58,0
54296,True,1821788,Webinar Template-APAC,United States,1/18/2018 7:16:51 PM,APAC-ANZ-Hyperscale & ScaleProtect Launch - Perth,445,1,,,To Partner Marketing Account,To Partner Marketing Events,Americas,41,0
54296,True,1858609,Webinar Template-APAC,United States,3/13/2018 9:51:59 PM,APAC>ANZ>Hyperscale & ScaleProtect Launch - Auckland,27,1,,,To Partner Marketing Account,To Partner Marketing Events,Americas,28,0
54296,True,1874265,Webinar Template-APAC,United States,4/9/2018 6:42:40 PM,APAC-ANZ-Hyperscale & ScaleProtect Launch - Melbourne,0,1,,,To Partner Marketing Account,To Partner Marketing Events,Americas,0,0
