Comments,Is Post Date Current Month,Program Account ID Filter,Campaign ID,Campaign Name,Campaign Status,Campaign Topic,Company Name,Country,Currently Authorized,Date Created,Favorites,Followers On Date of Posting,Geographic Region Name,Total Interactions,Likes,Language,Number of Records,Page Views,Partner ID,Post Content,Post Creation Date,Post Date,Posted Indication,Program Name,Retweets,SW Account ID,Send On Date,Social Account ID,Social Name,Social Post ID,Unique Page Views
0,No,True,1723037,Cloud campaign - Social Content - Facebook,Active,,Grupo Dice SA de CV - Mexico,United States,No,9/5/2017 2:24:30 PM,0,,Americas,0,0,,1,0,274985,Commvault have been selected by @CRN editorial team as a Cool #Cloud #Storage Vendor - Recognized for creativity & innovation. Check out the press release http://ow.ly/pr4X100YnCt,3/9/2018 1:13:56 PM,,0,Global Partner Marketing,0,53152,3/29/2018 11:00:00 AM,34184,Facebook,1585454,0
0,No,True,1723037,Cloud campaign - Social Content - Facebook,Active,,Business Bridge 2 USA LLC,United States,No,3/14/2018 1:40:22 PM,0,,Americas,0,0,,1,0,518113,Commvault now protects applications and data on Azure Stack. To learn more check out this post - https://www.commvault.com/blogs/2018/january/commvault-data-protection-for-cisco-integrated-system-for-microsoft-azure-stack … #azurestack #cleur #commvault #backup #bcdr #hybrid #azure @Commvault,3/14/2018 1:40:24 PM,,0,Global Partner Marketing,0,52272,4/12/2018 11:00:00 PM,38686,Facebook,1585550,0
0,No,True,1723037,Cloud campaign - Social Content - Facebook,Active,,Ingram Micro Limited - Thailand,Thailand,No,7/23/2018 3:14:44 AM,0,,APAC,0,0,,1,0,107505,How does a city use #cloud for #backup & #disasterrecovery to better serve citizens? Watch our video https://www.youtube.com/watch?v=I5ctiQ2RvHk,7/23/2018 3:14:45 AM,,0,APAC Partner Marketing,0,55348,4/26/2018 11:00:00 AM,40386,Facebook,1585646,0
0,No,True,1723029,Cloud campaign - Social Content - LinkedIN,Active,,Commvault Employee Account - David Bedjanic,Canada,No,8/30/2017 1:45:03 PM,0,,Americas,0,0,,1,0,,Commvault have been selected by @CRN editorial team as a Cool #Cloud #Storage Vendor - Recognized for creativity & innovation. Check out the press release http://ow.ly/pr4X100YnCt,3/9/2018 1:00:27 PM,,0,AMS CVLT Field,0,51062,4/3/2018 11:00:00 AM,34064,LinkedIn,1585124,0
0,No,True,1723029,Cloud campaign - Social Content - LinkedIN,Active,,Netconsulting Informatica Prestacao de Servicos Ltda,Brazil,No,9/25/2017 8:39:00 AM,0,,Americas,0,0,,1,1,523618,Whatever stage you are at in your #cloud #datamigration journey @virtualpenny has 5 key tips you need to read http://ow.ly/Xdvy100W7BL,3/9/2018 12:55:46 PM,,0,Global Partner Marketing,0,55722,3/15/2018 11:00:00 AM,34484,LinkedIn,1584998,1
0,No,True,1723025,Cloud campaign - Social Content - Twitter,Active,,Agility Systems,United States,No,11/3/2017 7:57:25 AM,0,,Americas,0,0,,1,0,255515,"One platform for data backup, recovery, management and e-discovery? Yes, with @Commvault you can move, manage and use data across the @awscloud Learn more and download the #Commvault reference architectures for #AWS http://ow.ly/6AZu100YnCQ",3/7/2018 11:51:06 AM,,0,Global Partner Marketing,0,51045,4/26/2018 2:00:00 PM,40865,Twitter,1584873,0
0,No,True,1807763,HyperScale™ Appliance - Social Content - LinkedIn,Active,HyperScale Appliance,Continental Resources Inc,United States,No,5/23/2018 12:29:51 PM,0,,Americas,0,0,,1,0,107048,How does @Commvault combine their award winning #datamanagement with a #scaleout file system? Find out: Find out: http://[MyWebAddress]/?SwappID=91&RegPageManagedID=3109049&SWThemeID=38377 #data,5/29/2018 1:41:37 PM,,0,AMS Partner Marketing,0,52767,7/19/2018 12:00:00 PM,39494,LinkedIn,1594482,0
0,No,True,1807763,HyperScale™ Appliance - Social Content - LinkedIn,Active,HyperScale Appliance,Continental Resources Inc,United States,No,5/23/2018 12:29:51 PM,0,,Americas,0,0,,1,1,107048,Read about @Commvault’s ‘Highly-Differentiated Infrastructure’ solutions in @BCWUK http://www.businesscomputingworld.co.uk/news-post/commvault-unveils-highly-differentiated-infrastructure-solutions-with-hyperscale-software-and-appliance-offerings/ …,5/23/2018 12:29:51 PM,,0,AMS Partner Marketing,0,52767,3/28/2018 10:00:00 AM,39535,LinkedIn,1584359,1
0,No,True,1723037,Cloud campaign - Social Content - Facebook,Active,, Commvault Employee Account - Adam Hilliard,United States,No,8/30/2017 11:58:20 AM,0,,Americas,0,0,,1,0,,How does a city use #cloud for #backup & #disasterrecovery to better serve citizens? Watch our video https://www.youtube.com/watch?v=I5ctiQ2RvHk,3/9/2018 1:20:43 PM,,0,AMS CVLT Field,0,51238,4/26/2018 11:00:00 AM,39491,Facebook,1585646,0
0,No,True,1723029,Cloud campaign - Social Content - LinkedIN,Active,,"Compugen, Inc.",United States,No,11/9/2017 4:26:37 PM,0,,Americas,0,0,,1,0,123526,If you didn't catch #Microsoft @Azure Solution Showcase #Webinar- its available on-demand now! http://[MyWebAddress]/?SwappID=91&RegPageManagedID=3230427&SWThemeID=38377  Lots of expert insight plus awesome demos.,3/19/2018 11:57:11 AM,,0,Global Partner Marketing,0,49401,3/27/2018 11:00:00 AM,38573,LinkedIn,1586225,0
